code,year,tmin,tmax,tmean,domin,domax,domean,bodmin,bodmax,bodmean,phmin,phmax,phmean,cmin,cmax,cmean,nmin,nmax,nmean,fcmin,fcmax,fcmean,tcmin,tcmax,tcmean
1346,2005,26,29,27.5,5.08,11.04,7.397,2.88,5.27,4.323,7.9,8.66,8.22,2120,3620,2852.5,0.16,2.23,0.977,4,11,7,20,150,64
1346,2006,24,26,25,1.4,5.1,3.3,4.4,7,5.7,7.48,7.7,7.59,2520,2670,2595,0.4,0.5,0.4,2,7,5,7,14,11
1346,2007,22,26,25,8.1,12.1,9.8,6.9,11.1,8.4,7.2,8.5,7.8,1442,1710,1587,0.08,0.09,0.09,2,7,4,9,28,19
1346,2008,24,28,26.8,5.4,7.4,6.1,1.3,8,2.7,7.1,7.5,7.4,1766,2020,1892,0.56,1.23,1,130,7900,1666,220,110000,12638
1346,2009,25,29,27.3,4.3,9.2,7,0.8,7,2.9,7.5,7.7,7.6,1842,2010,1918,0,0,0,13000,24000,18857,22000,54000,32714
1346,2010,26,30,28.5,7.2,7.2,7.2,0.5,7.2,2.8,7.2,7.7,7.4,982,1650,1284,0.09,1.02,1.05,200,7900,2864,200,13000,4218
1346,2011,26,31,28.3,3.2,8.9,7.1,12,16,14,7.6,8.3,8.1,1894,3610,2434,0,0,0,,,,,,
1346,2012,26,26,26,2.6,2.6,2.6,6,35,21.8,7.4,7.4,7.4,2330,2330,2330,0.239,7.5,4,43,30000,5064,10,15000,2487
1346,2013,28,31,29.3,2.5,8.3,6.4,1.8,58,29.5,7.5,8.4,8,2970,81110,23125,0.756,5.45,3.23,130,1600,783,4300,21000,12400
1347,2003,30,32,31,8,10.4,9.2,1.5,2.3,1.9,8,8.4,8.2,,,,,,,1100,1100,1100,15,1100,558
1347,2004,12,23,19,5.6,7,6.2,8.5,10.5,9.7,6.8,7.2,7,220,320,268,,,,1700,2600,2200,2700,4300,3450
1347,2005,8,21,16.75,5.2,8.4,7.25,7.5,10.5,8.475,7,7.1,7.05,225,270,246.3,8.8,8.8,8.8,2200,2300,2225,3100,3500,3300
1347,2006,12,12,12,7.4,7.4,7.4,8,8,8,6.9,6.9,6.9,258,258,258,3.5,3.5,3.5,2200,2200,2200,3500,3500,3500
1347,2007,13,21,17,6.4,8.6,7.8,6,9.7,7.9,6.5,7.2,6.9,230,299,267,1.3,5.2,2.6,2700,3300,2900,3400,4600,3725
1347,2009,18,24,21,5.4,6.2,5.8,2.9,8.4,4.8,6.8,7.6,7.2,266,305,286,0.28,5.55,2,2100,9300,4500,150,210,178
1347,2011,13,27,21.5,4,9.2,7.1,1.5,47,16.3,6.9,7.3,7.1,200,290,256,5.711,6.97,6,,,,12,1700,664
